conflictep_id,conflictepisode,type_of_conflict2,dyadcount,confterm,ependdate,ependprec,outcome,recur,version,conflict_id,year,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,intensity_level,type_of_conflict,start_date,start_prec,start_date2,start_prec2,gwno_loc,region
20901,1,3,1,1,12/31/1954,5,3,0,3,209,1954,Philippines,Government of Philippines,154,,Huk,168,,2,,2,3,7/31/1946,4,7/31/1946,4,840,3
20902,2,3,1,0,,,,1,3,209,1969,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,9/30/1969,4,840,3
20902,2,3,1,0,,,,0,3,209,1970,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,9/30/1969,4,840,3
20902,2,3,1,0,,,,0,3,209,1971,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,9/30/1969,4,840,3
20902,2,3,1,0,,,,0,3,209,1972,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,9/30/1969,4,840,3
20902,2,3,1,0,,,,0,3,209,1973,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,9/30/1969,4,840,3
20902,2,3,1,0,,,,0,3,209,1974,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,9/30/1969,4,840,3
20902,2,3,1,0,,,,0,3,209,1975,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,9/30/1969,4,840,3
20902,2,3,1,0,,,,0,3,209,1976,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,9/30/1969,4,840,3
20902,2,3,1,0,,,,0,3,209,1977,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,9/30/1969,4,840,3
20902,2,3,1,0,,,,0,3,209,1978,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,9/30/1969,4,840,3
20902,2,3,1,0,,,,0,3,209,1979,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,9/30/1969,4,840,3
20902,2,3,1,0,,,,0,3,209,1980,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,9/30/1969,4,840,3
20902,2,3,1,0,,,,0,3,209,1981,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,9/30/1969,4,840,3
20902,2,3,1,0,,,,0,3,209,1982,Philippines,Government of Philippines,154,,CPP,169,,2,,2,3,7/31/1946,4,9/30/1969,4,840,3
20902,2,3,1,0,,,,0,3,209,1983,Philippines,Government of Philippines,154,,CPP,169,,2,,2,3,7/31/1946,4,9/30/1969,4,840,3
20902,2,3,1,0,,,,0,3,209,1984,Philippines,Government of Philippines,154,,CPP,169,,2,,2,3,7/31/1946,4,9/30/1969,4,840,3
20902,2,3,1,0,,,,0,3,209,1985,Philippines,Government of Philippines,154,,CPP,169,,2,,2,3,7/31/1946,4,9/30/1969,4,840,3
20902,2,3,1,0,,,,0,3,209,1986,Philippines,Government of Philippines,154,,CPP,169,,2,,2,3,7/31/1946,4,9/30/1969,4,840,3
20902,2,3,2,0,,,,0,3,209,1987,Philippines,Government of Philippines,154,,"CPP, Military faction (forces of Honasan, Abenina & Zumel)","169, 170",,2,,2,3,7/31/1946,4,9/30/1969,4,840,3
20902,2,3,1,0,,,,0,3,209,1988,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,9/30/1969,4,840,3
20902,2,3,2,0,,,,0,3,209,1989,Philippines,Government of Philippines,154,,"CPP, Military faction (forces of Honasan, Abenina & Zumel)","169, 170",,2,,1,3,7/31/1946,4,9/30/1969,4,840,3
20902,2,3,2,0,,,,0,3,209,1990,Philippines,Government of Philippines,154,,"CPP, Military faction (forces of Honasan, Abenina & Zumel)","169, 170",,2,,2,3,7/31/1946,4,9/30/1969,4,840,3
20902,2,3,1,0,,,,0,3,209,1991,Philippines,Government of Philippines,154,,CPP,169,,2,,2,3,7/31/1946,4,9/30/1969,4,840,3
20902,2,3,1,0,,,,0,3,209,1992,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,9/30/1969,4,840,3
20902,2,3,1,0,,,,0,3,209,1993,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,9/30/1969,4,840,3
20902,2,3,1,0,,,,0,3,209,1994,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,9/30/1969,4,840,3
20902,2,3,1,1,11/29/1995,1,2,0,3,209,1995,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,9/30/1969,4,840,3
20903,3,3,1,1,12/30/1997,3,2,1,3,209,1997,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,11/23/1997,1,840,3
20904,4,3,1,0,,,,1,3,209,1999,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,6/6/1999,1,840,3
20904,4,3,1,0,,,,0,3,209,2000,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,6/6/1999,1,840,3
20904,4,3,1,0,,,,0,3,209,2001,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,6/6/1999,1,840,3
20904,4,3,1,0,,,,0,3,209,2002,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,6/6/1999,1,840,3
20904,4,3,1,0,,,,0,3,209,2003,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,6/6/1999,1,840,3
20904,4,3,1,0,,,,0,3,209,2004,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,6/6/1999,1,840,3
20904,4,3,1,0,,,,0,3,209,2005,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,6/6/1999,1,840,3
20904,4,3,1,0,,,,0,3,209,2006,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,6/6/1999,1,840,3
20904,4,3,1,0,,,,0,3,209,2007,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,6/6/1999,1,840,3
20904,4,3,1,0,,,,0,3,209,2008,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,6/6/1999,1,840,3
20904,4,3,1,0,,,,0,3,209,2009,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,6/6/1999,1,840,3
20904,4,3,1,0,,,,0,3,209,2010,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,6/6/1999,1,840,3
20904,4,3,1,0,,,,0,3,209,2011,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,6/6/1999,1,840,3
20904,4,3,1,0,,,,0,3,209,2012,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,6/6/1999,1,840,3
20904,4,3,1,0,,,,0,3,209,2013,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,6/6/1999,1,840,3
20904,4,3,1,0,,,,0,3,209,2014,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,6/6/1999,1,840,3
20904,4,3,1,0,,,,0,3,209,2015,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,6/6/1999,1,840,3
20904,4,3,1,0,,,,0,3,209,2016,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,6/6/1999,1,840,3
20904,4,3,1,0,,,,0,3,209,2017,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,6/6/1999,1,840,3
20904,4,3,1,0,,,,0,3,209,2018,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,6/6/1999,1,840,3
20904,4,3,1,0,,,,0,3,209,2019,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,6/6/1999,1,840,3
20904,4,3,1,0,,,,0,3,209,2020,Philippines,Government of Philippines,154,,CPP,169,,2,,1,3,7/31/1946,4,6/6/1999,1,840,3
21001,1,3,1,0,,,,0,3,210,1946,Russia (Soviet Union),Government of Russia (Soviet Union),57,,Forest Brothers,171,,1,Estonia,1,3,12/31/1944,6,12/31/1946,5,365,1
21001,1,3,1,0,,,,0,3,210,1947,Russia (Soviet Union),Government of Russia (Soviet Union),57,,Forest Brothers,171,,1,Estonia,1,3,12/31/1944,6,12/31/1946,5,365,1
21001,1,3,1,1,12/31/1948,5,5,0,3,210,1948,Russia (Soviet Union),Government of Russia (Soviet Union),57,,Forest Brothers,171,,1,Estonia,1,3,12/31/1944,6,12/31/1946,5,365,1
21101,1,3,2,1,12/31/1946,5,5,0,3,211,1946,Russia (Soviet Union),Government of Russia (Soviet Union),57,,"LNPA, LTS(p)A","172, 173",,1,Latvia,1,3,12/31/1945,6,12/31/1946,5,365,1
21201,1,3,1,0,,,,0,3,212,1946,Russia (Soviet Union),Government of Russia (Soviet Union),57,,BDPS,174,,1,Lithuania,2,3,6/30/1946,4,6/30/1946,4,365,1
21201,1,3,1,0,,,,0,3,212,1947,Russia (Soviet Union),Government of Russia (Soviet Union),57,,BDPS,174,,1,Lithuania,2,3,6/30/1946,4,6/30/1946,4,365,1
21201,1,3,1,1,12/31/1948,5,5,0,3,212,1948,Russia (Soviet Union),Government of Russia (Soviet Union),57,,BDPS,174,,1,Lithuania,1,3,6/30/1946,4,6/30/1946,4,365,1
21301,1,3,1,0,,,,0,3,213,1946,Russia (Soviet Union),Government of Russia (Soviet Union),57,,UPA,175,,1,Ukraine,2,3,12/31/1941,5,12/31/1946,5,365,1
21301,1,3,1,0,,,,0,3,213,1947,Russia (Soviet Union),Government of Russia (Soviet Union),57,,UPA,175,,1,Ukraine,2,3,12/31/1941,5,12/31/1946,5,365,1
21301,1,3,1,0,,,,0,3,213,1948,Russia (Soviet Union),Government of Russia (Soviet Union),57,,UPA,175,,1,Ukraine,2,3,12/31/1941,5,12/31/1946,5,365,1
21301,1,3,1,0,,,,0,3,213,1949,Russia (Soviet Union),Government of Russia (Soviet Union),57,,UPA,175,,1,Ukraine,1,3,12/31/1941,5,12/31/1946,5,365,1
21301,1,3,1,1,12/31/1950,5,5,0,3,213,1950,Russia (Soviet Union),Government of Russia (Soviet Union),57,,UPA,175,,1,Ukraine,1,3,12/31/1941,5,12/31/1946,5,365,1
21401,1,2,1,1,11/17/1946,1,1,0,3,214,1946,"France, Thailand",Government of France,33,,Government of Thailand,147,,1,Northern Cambodia,1,2,5/7/1946,1,5/7/1946,1,"220, 800","1, 3"
21501,1,2,1,1,12/31/1946,5,5,0,3,215,1946,"Albania, United Kingdom",Government of Albania,45,,Government of United Kingdom,28,,1,Korfu Channel,1,2,10/22/1946,1,10/22/1946,1,"200, 339",1
21601,1,1,1,0,,,,0,3,216,1946,Vietnam (North Vietnam),Government of France,33,,Viet minh,176,,1,Vietnam,2,1,11/20/1946,1,11/20/1946,1,816,3
21601,1,1,1,0,,,,0,3,216,1947,Vietnam (North Vietnam),Government of France,33,,Viet minh,176,,1,Vietnam,2,1,11/20/1946,1,11/20/1946,1,816,3
21601,1,1,1,0,,,,0,3,216,1948,Vietnam (North Vietnam),Government of France,33,,Viet minh,176,,1,Vietnam,2,1,11/20/1946,1,11/20/1946,1,816,3
21601,1,1,1,0,,,,0,3,216,1949,Vietnam (North Vietnam),Government of France,33,,Viet minh,176,,1,Vietnam,2,1,11/20/1946,1,11/20/1946,1,816,3
21601,1,1,1,0,,,,0,3,216,1950,Vietnam (North Vietnam),Government of France,33,,Viet minh,176,,1,Vietnam,2,1,11/20/1946,1,11/20/1946,1,816,3
21601,1,1,1,0,,,,0,3,216,1951,Vietnam (North Vietnam),Government of France,33,,Viet minh,176,,1,Vietnam,2,1,11/20/1946,1,11/20/1946,1,816,3
21601,1,1,1,0,,,,0,3,216,1952,Vietnam (North Vietnam),Government of France,33,,Viet minh,176,,1,Vietnam,2,1,11/20/1946,1,11/20/1946,1,816,3
21601,1,1,1,0,,,,0,3,216,1953,Vietnam (North Vietnam),Government of France,33,,Viet minh,176,,1,Vietnam,2,1,11/20/1946,1,11/20/1946,1,816,3
21601,1,1,1,1,7/20/1954,1,1,0,3,216,1954,Vietnam (North Vietnam),Government of France,33,,Viet minh,176,,1,Vietnam,2,1,11/20/1946,1,11/20/1946,1,816,3
21701,1,3,1,1,3/24/1947,1,3,0,3,217,1947,China,Government of China,135,,Taiwanese insurgents,177,,1,Taiwan,2,3,2/28/1947,1,2/28/1947,1,710,3
21801,1,2,1,1,12/31/1948,1,2,0,3,218,1948,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,2,2,12/31/1948,5,12/31/1948,5,"750, 770",3
21802,2,2,1,0,,,,1,3,218,1964,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1,2,12/31/1948,5,12/31/1964,5,"750, 770",3
21802,2,2,1,1,12/15/1965,1,1,0,3,218,1965,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,2,2,12/31/1948,5,12/31/1964,5,"750, 770",3
21803,3,2,1,1,12/17/1971,3,1,1,3,218,1971,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,2,2,12/31/1948,5,12/3/1971,1,"750, 770",3
21804,4,2,1,1,12/31/1984,5,5,1,3,218,1984,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1,2,12/31/1948,5,12/31/1984,5,"750, 770",3
21805,5,2,1,1,12/31/1987,5,5,1,3,218,1987,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1,2,12/31/1948,5,12/31/1987,5,"750, 770",3
21806,6,2,1,0,,,,1,3,218,1989,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1,2,12/31/1948,5,12/31/1989,5,"750, 770",3
21806,6,2,1,0,,,,0,3,218,1990,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1,2,12/31/1948,5,12/31/1989,5,"750, 770",3
21806,6,2,1,0,,,,0,3,218,1991,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1,2,12/31/1948,5,12/31/1989,5,"750, 770",3
21806,6,2,1,1,12/31/1992,5,5,0,3,218,1992,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1,2,12/31/1948,5,12/31/1989,5,"750, 770",3
21807,7,2,1,1,11/28/1994,2,5,1,3,218,1994,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1,2,12/31/1948,5,6/28/1994,5,"750, 770",3
21808,8,2,1,0,,,,1,3,218,1996,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1,2,12/31/1948,5,12/31/1996,5,"750, 770",3
21808,8,2,1,0,,,,0,3,218,1997,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1,2,12/31/1948,5,12/31/1996,5,"750, 770",3
21808,8,2,1,0,,,,0,3,218,1998,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1,2,12/31/1948,5,12/31/1996,5,"750, 770",3
21808,8,2,1,0,,,,0,3,218,1999,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1,2,12/31/1948,5,12/31/1996,5,"750, 770",3
21808,8,2,1,0,,,,0,3,218,2000,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1,2,12/31/1948,5,12/31/1996,5,"750, 770",3
21808,8,2,1,0,,,,0,3,218,2001,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1,2,12/31/1948,5,12/31/1996,5,"750, 770",3
21808,8,2,1,0,,,,0,3,218,2002,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1,2,12/31/1948,5,12/31/1996,5,"750, 770",3
21808,8,2,1,1,11/26/2003,1,2,0,3,218,2003,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1,2,12/31/1948,5,12/31/1996,5,"750, 770",3
21809,9,2,1,0,,,,1,3,218,2013,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1,2,12/31/1948,5,10/4/2013,1,"750, 770",3
21809,9,2,1,0,,,,0,3,218,2014,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1,2,12/31/1948,5,10/4/2013,1,"750, 770",3
21809,9,2,1,0,,,,0,3,218,2015,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1,2,12/31/1948,5,10/4/2013,1,"750, 770",3
21809,9,2,1,0,,,,0,3,218,2016,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1,2,12/31/1948,5,10/4/2013,1,"750, 770",3
21809,9,2,1,0,,,,0,3,218,2017,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1,2,12/31/1948,5,10/4/2013,1,"750, 770",3
21809,9,2,1,0,,,,0,3,218,2018,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1,2,12/31/1948,5,10/4/2013,1,"750, 770",3
21809,9,2,1,0,,,,0,3,218,2019,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1,2,12/31/1948,5,10/4/2013,1,"750, 770",3
21809,9,2,1,0,,,,0,3,218,2020,"India, Pakistan",Government of India,141,,Government of Pakistan,142,,1,Kashmir,1,2,12/31/1948,5,10/4/2013,1,"750, 770",3
