id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est,COORDS
SUD-2003-3-625-8,2003,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,-1,"Amnesty International, Sudan: Victims of the war in Darfur speak about their plight"", 6 March 2004",,,,Witnesses,2,Abu Gamra,"Abu Jidad, near Kornoy",Northern Darfur state,,15.083333,23.25,POINT (23.25 15.083333),151607,Sudan,625,Africa,1,1,06/28/2003 00:00:00,06/28/2003 00:00:00,0,0,2,0,2,2,2,,POINT (23.25 15.083333)
SUD-2004-3-1485-16,2004,True,Clear,3,630,586,Janjaweed  - Civilians,630,1053,Janjaweed  - Civilians,630,630,Janjaweed,9999,1,Civilians,-1,"IRIN, ""IDPs from southern Sudan caught up in Darfur violence"" , 8 April 2004",,,,"a Dinka sultan [chief],",1,Abu Ajurah town,Abu Ajurah town,Southern Darfur state,Nyala locality,11.6,24.666667,POINT (24.666667 11.6),146570,Sudan,625,Africa,1,1,03/28/2004 00:00:00,03/28/2004 00:00:00,0,0,2,0,2,2,2,,POINT (24.666667 11.6)
SUD-2004-3-625-35,2004,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,-1,"Human Rights Watch, ""Darfur Destroyed"" , May 2004.",,,,,2,Wadi Salih locality,Wadi Salih area,Western Darfur state,Wadi Salih locality,12.066667,22.583333,POINT (22.583333 12.066667),147286,Sudan,625,Africa,1,1,03/05/2004 00:00:00,03/05/2004 00:00:00,0,0,145,0,145,145,0,,POINT (22.583333 12.066667)
SUD-2004-3-1485-19,2004,True,Clear,3,630,586,Janjaweed  - Civilians,630,1053,Janjaweed  - Civilians,630,630,Janjaweed,9999,1,Civilians,-1,"Flint Julie & Alex de Waal (2006) ""Darfur a short history of a long war",,,,"Ethnic Cleansing in Desert of Death fo Black Muslims, witnesses",4,Northern Darfur state,Northern Darfur (Har Jang village),Northern Darfur state,,16.0,26.0,POINT (26 16),153053,Sudan,625,Africa,1,1,04/01/2004 00:00:00,04/01/2004 00:00:00,0,0,3,0,3,3,3,,POINT (26 16)
SUD-2004-3-625-81,2004,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,-1,AU CFC report Dec 2004,,,,,1,Adwah village,Adwah village,Southern Darfur state,,12.516667,24.9,POINT (24.9 12.516667),148010,Sudan,625,Africa,1,1,11/29/2004 00:00:00,11/29/2004 00:00:00,0,0,2,0,2,2,2,,POINT (24.9 12.516667)
SUD-2004-3-625-82,2004,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,-1,AU CFC report 31/12,,,,,1,Adwah village,Adwah village,Southern Darfur state,,12.516667,24.9,POINT (24.9 12.516667),148010,Sudan,625,Africa,1,1,11/30/2004 00:00:00,11/30/2004 00:00:00,0,0,200,0,200,200,200,,POINT (24.9 12.516667)
SUD-2004-3-1485-43.1,2004,True,Clear,3,630,586,Janjaweed  - Civilians,630,1053,Janjaweed  - Civilians,630,630,Janjaweed,9999,1,Civilians,-1,"Voice of Sudan, NDA radio",,,,Darfur People's Association in North Africa,1,Labado village,Labado village,Southern Darfur state,,12.065278,25.434444,POINT (25.434444 12.065278),147291,Sudan,625,Africa,2,2,09/02/2004 00:00:00,09/04/2004 00:00:00,0,0,50,0,50,50,50,,POINT (25.434444 12.065278)
SUD-2015-1-833-105,2015,True,Clear,1,309,309,Sudan: Government,11988,11988,Government of Sudan - SRF,112,112,Government of Sudan,1162,1162,SRF,1,"""SUDO(UK),2015-11-01,HUMAN RIGHTS ABUSES IN SUDAN OVER THE MONTH OF OCTOBER 2015""",SUDO(UK),2015-11-01,HUMAN RIGHTS ABUSES IN SUDAN OVER THE MONTH OF OCTOBER 2015,eyewitness,2,Fanga Suk town,"5km south of Fanga
North Darfur",Central Darfur state,Rokoro district,13.287452,24.647945,POINT (24.647945 13.287452),148730,Sudan,625,Africa,1,1,10/07/2015 00:00:00,10/07/2015 00:00:00,0,0,2,0,2,2,2,,POINT (24.647945 13.287452)
SUD-2015-3-625-180,2015,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,1,"""SUDO(UK),2015-11-01,HUMAN RIGHTS ABUSES IN SUDAN OVER THE MONTH OF OCTOBER 2015""",SUDO(UK),2015-11-01,HUMAN RIGHTS ABUSES IN SUDAN OVER THE MONTH OF OCTOBER 2015,,2,Tabit village,"school in Aradaiba Camp near Tabit
North Darfur",North Darfur state,El Fasher district,13.3,25.083333,POINT (25.083333 13.3),148731,Sudan,625,Africa,1,1,10/08/2015 00:00:00,10/08/2015 00:00:00,0,0,0,0,0,1,0,,POINT (25.083333 13.3)
SUD-2015-3-625-181,2015,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,1,"""SUDO(UK),2015-11-01,HUMAN RIGHTS ABUSES IN SUDAN OVER THE MONTH OF OCTOBER 2015""",SUDO(UK),2015-11-01,HUMAN RIGHTS ABUSES IN SUDAN OVER THE MONTH OF OCTOBER 2015,,1,Al-Fashir town,"Al-Higra neighbourhood in Al-Fashir
North Darfur",North Darfur state,El Fasher district,13.633333,25.35,POINT (25.35 13.633333),149451,Sudan,625,Africa,1,1,10/09/2015 00:00:00,10/09/2015 00:00:00,0,0,1,0,1,1,1,,POINT (25.35 13.633333)
SUD-2004-1-433-34,2004,True,Clear,1,309,309,Sudan: Government,666,666,Government of Sudan - SLM/A,112,112,Government of Sudan,469,469,SLM/A,-1,AFP 17/9 2004,,,,"Al-Hayat daily, independent newspaper",3,Umm Keddada locality,Umm Keddada district (Liait Jar al-Nabi in),Northern Darfur state,Umm Keddada locality,13.6,26.7,POINT (26.7 13.6),149454,Sudan,625,Africa,1,1,09/16/2004 00:00:00,09/16/2004 00:00:00,4,0,0,0,4,4,4,,POINT (26.7 13.6)
SUD-2004-3-625-78,2004,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,-1,AFP 31/10 2004,,,,SLM spokesman,4,Northern Darfur state,Northern Darfur (Kasott area),Northern Darfur state,,16.0,26.0,POINT (26 16),153053,Sudan,625,Africa,1,1,10/30/2004 00:00:00,10/30/2004 00:00:00,0,0,2,0,2,2,2,,POINT (26 16)
SUD-2004-3-1485-39,2004,True,Clear,3,630,586,Janjaweed  - Civilians,630,1053,Janjaweed  - Civilians,630,630,Janjaweed,9999,1,Civilians,-1,"Amnesty International ""Darfur: Rape as a weapon of war: sexual violence and its consequences"" 19 July 2004",,,,,1,Miski town,Miski town,Northern Darfur state,Kutum locality,14.85,24.216667,POINT (24.216667 14.85),150889,Sudan,625,Africa,1,4,08/01/2004 00:00:00,08/31/2004 00:00:00,0,0,3,0,3,3,3,,POINT (24.216667 14.85)
SUD-2004-3-625-22,2004,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,-1,"UN,""Report of the International Commission of inquiry on Darfur"" , 25 January 2005, p.77.",,,,,1,Anka town,Anka town,Northern Darfur state,,14.683333,24.85,POINT (24.85 14.683333),150890,Sudan,625,Africa,1,4,02/01/2004 00:00:00,02/29/2004 00:00:00,0,0,15,0,15,15,15,,POINT (24.85 14.683333)
SUD-2004-1-433-3,2004,True,Clear,1,309,309,Sudan: Government,666,666,Government of Sudan - SLM/A,112,112,Government of Sudan,469,469,SLM/A,-1,Factiva (no source) 8/1; SMC 8/1,,,,State governor Northern Darfur; SLA,2,Abu Gamra,Abu Gamra area,Northern Darfur state,,15.083333,23.25,POINT (23.25 15.083333),151607,Sudan,625,Africa,1,1,01/06/2004 00:00:00,01/06/2004 00:00:00,0,1,0,0,1,1,1,,POINT (23.25 15.083333)
SUD-2003-3-1485-11,2003,True,Clear,3,630,586,Janjaweed  - Civilians,630,1053,Janjaweed  - Civilians,630,630,Janjaweed,9999,1,Civilians,-1,"Amnesty International, ""Darfur: Too many people killed for no reason"" , 3 February 2004",,,,Witnesses,4,Western Darfur state,Western Darfur (Jizu village),Western Darfur state,,13.0,23.0,POINT (23 13),148727,Sudan,625,Africa,1,4,07/01/2003 00:00:00,07/31/2003 00:00:00,0,0,0,5,5,5,5,,POINT (23 13)
SUD-2004-3-625-33,2004,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,-1,"Human Rights Watch, ""Targeting the Fur:Mass killings in Darfur"" ,24 January 2005 UN,""Report of the International Commission of inquiry on Darfur"" , 25 January 2005,p.89.",,,,Witnesses,1,Mukjar town,Mukjar town,Western Darfur state,Mukjar locality,11.294261,23.192944,POINT (23.192944 11.294261),145847,Sudan,625,Africa,1,4,03/01/2004 00:00:00,03/10/2004 00:00:00,0,0,70,0,70,70,70,,POINT (23.192944 11.294261)
SUD-2015-3-625-182,2015,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,1,"""SUDO(UK),2015-11-01,HUMAN RIGHTS ABUSES IN SUDAN OVER THE MONTH OF OCTOBER 2015""",SUDO(UK),2015-11-01,HUMAN RIGHTS ABUSES IN SUDAN OVER THE MONTH OF OCTOBER 2015,,5,East Jebel Marra in North Darfur,"farms in East Jebel Marra 
North Darfur",North Darfur state,,13.25,24.75,POINT (24.75 13.25),148730,Sudan,625,Africa,1,1,10/10/2015 00:00:00,10/10/2015 00:00:00,0,0,2,0,2,2,2,,POINT (24.75 13.25)
SUD-2004-3-625-69,2004,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,-1,AP 28/8 2004,,,,JEM and SLA statement,5,Darfur,Klikel Abdousalaam area,,,13.0,25.0,POINT (25 13),148731,Sudan,625,Africa,1,1,08/28/2004 00:00:00,08/28/2004 00:00:00,0,0,2,0,2,2,2,,POINT (25 13)
SUD-2003-3-1485-2,2003,True,Clear,3,630,586,Janjaweed  - Civilians,630,1053,Janjaweed  - Civilians,630,630,Janjaweed,9999,1,Civilians,-1,"Hfer Petersen & Tullin (2006) ""The Scorched Earth of Darfur"" Copenhagen: Bloodhound.",,,,,5,Darfur,Darfur,,,13.0,25.0,POINT (25 13),148731,Sudan,625,Africa,2,4,01/01/2003 00:00:00,01/31/2003 00:00:00,0,0,0,0,0,60,0,,POINT (25 13)
SUD-2003-3-625-25,2003,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,-1,"Amnesty International, ""Darfur: Too many people killed for no reason"" , 3 February 2004",,,,Villagers,4,Western Darfur state,"Western Darfur (Suani, reported near Geneina)",Western Darfur state,,13.0,23.0,POINT (23 13),148727,Sudan,625,Africa,1,1,08/10/2003 00:00:00,08/10/2003 00:00:00,0,0,9,0,9,9,9,,POINT (23 13)
SUD-2004-3-625-36,2004,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,-1,"Human Rights Watch, ""Targeting the Fur: Mass killings in Darfur"", 24 January 2005",,,,Local people,2,Deleig town,Deleig town (a valley 2 km from the government jail in ),Western Darfur state,Wadi Salih locality,12.483333,23.266667,POINT (23.266667 12.483333),147287,Sudan,625,Africa,1,1,03/05/2004 00:00:00,03/05/2004 00:00:00,0,0,72,0,72,72,72,,POINT (23.266667 12.483333)
SUD-2015-3-625-183,2015,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,1,"""SUDO(UK),2015-11-01,HUMAN RIGHTS ABUSES IN SUDAN OVER THE MONTH OF OCTOBER 2015""",SUDO(UK),2015-11-01,HUMAN RIGHTS ABUSES IN SUDAN OVER THE MONTH OF OCTOBER 2015,,2,Dar al-Salam town,"from Al-Salam IDP Camp in Kabkabeyia
North Darfur",North Darfur state,Dar El Salam district,13.056505,25.522105,POINT (25.522105 13.056505),148732,Sudan,625,Africa,1,1,10/10/2015 00:00:00,10/10/2015 00:00:00,0,0,0,0,0,1,0,,POINT (25.522105 13.056505)
SUD-2004-3-625-34,2004,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,-1,"Human Rights Watch, ""Targeting the Fur:Mass killings in Darfur"" ,24 January 2005 UN,""Report of the International Commission of inquiry on Darfur"" , 25 January 2005,p.89.",,,,Witnesses,1,Mukjar town,Mukjar town,Western Darfur state,Mukjar locality,11.294261,23.192944,POINT (23.192944 11.294261),145847,Sudan,625,Africa,1,4,03/01/2004 00:00:00,03/10/2004 00:00:00,0,0,52,0,52,52,52,,POINT (23.192944 11.294261)
SUD-2004-3-625-21.2,2004,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,-1,"UN, ""Inter  agency fact finding and rapid assessment mission Kailek town"", 25 April 2004 New York Times,""How Did Darfur Happen"" 17. October 2004 UN,""Report of the International Commission of inquiry on Darfur"" ,, 25 January 2005, p.75.",,,,"UN, ""Inter  agency fact finding and rapid assessment mission Kailek town",1,Kailek town,Kailek town,Southern Darfur state,,12.266667,23.916667,POINT (23.916667 12.266667),147288,Sudan,625,Africa,1,4,02/01/2004 00:00:00,02/29/2004 00:00:00,0,0,13,0,13,13,13,,POINT (23.916667 12.266667)
SUD-2004-3-625-89,2004,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,-1,HRW/All Africa 23/4,,,,Headman of Terbeba village,1,Terbeba village,Terbeba village,Western Darfur state,,13.08,21.98,POINT (21.98 13.08),148724,Sudan,625,Africa,1,5,01/01/2004 00:00:00,12/31/2004 00:00:00,0,0,0,0,0,31,0,,POINT (21.98 13.08)
SUD-2004-1-433-15,2004,True,Clear,1,309,309,Sudan: Government,666,666,Government of Sudan - SLM/A,112,112,Government of Sudan,469,469,SLM/A,-1,NDA radio 20/3,,,,,4,Western Darfur state,"Western Darfur (Kalu Tonj, southern Jabal Marra)",Western Darfur state,,13.0,23.0,POINT (23 13),148727,Sudan,625,Africa,1,1,03/20/2004 00:00:00,03/20/2004 00:00:00,20,3,0,0,23,23,23,,POINT (23 13)
SUD-2003-1-433-12,2003,True,Clear,1,309,309,Sudan: Government,666,666,Government of Sudan - SLM/A,112,112,Government of Sudan,469,469,SLM/A,-1,Reuters  03-11-28,,,,SLM/A leader,4,Western Darfur state,Western Darfur,Western Darfur state,,13.0,23.0,POINT (23 13),148727,Sudan,625,Africa,1,1,11/27/2003 00:00:00,11/27/2003 00:00:00,0,0,0,8,8,8,8,,POINT (23 13)
SUD-2004-3-1316-6,2004,False,Clear,3,469,556,SLM/A - Civilians,469,1023,SLM/A - Civilians,469,469,SLM/A,9999,1,Civilians,-1,AP 4/11 2004,,,,Chief operations officer for the African Union mission,2,Tawila town,Tawilla town (near),Northern Darfur state,,13.5,24.9,POINT (24.9 13.5),149450,Sudan,625,Africa,1,1,11/02/2004 00:00:00,11/02/2004 00:00:00,0,0,4,2,6,6,6,,POINT (24.9 13.5)
SUD-2004-3-625-46,2004,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,-1,"AFP 28/5, Reuters 28/5, Amnesty Int/All Africa Global Media 3/6",,,,Witnesses (and SLA for high),1,Tabit village,Tabit village,Northern Darfur state,,13.3,25.2,POINT (25.2 13.3),148731,Sudan,625,Africa,1,1,05/28/2004 00:00:00,05/28/2004 00:00:00,0,0,12,0,12,20,11,,POINT (25.2 13.3)
SUD-2004-2-111-1.2,2004,True,Clear,2,5276,4666,Ma'aliyah - Rizeigat Baggara,5276,5276,Ma'aliyah - Rizeigat Baggara,641,641,Ma'aliyah,703,703,Rizeigat Baggara,-1,"Takana, Yousif (2008)The Politics of Local Boundaries and Conflict in Sudan The South Darfur Case SWP 2008: 2",,,,,3,Adayla locality,Tabat area,Southern Darfur state,Adayla locality,11.2,26.59,POINT (26.59 11.2),145854,Sudan,625,Africa,2,5,01/01/2004 00:00:00,12/31/2004 00:00:00,0,0,0,68,68,68,68,,POINT (26.59 11.2)
SUD-2003-3-625-40.1,2003,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,-1,"HRW ""DARFUR DESTROYED Ethnic Cleansing by Government and Militia Forces in Western Sudan"" http://hrw.org/reports/2004/sudan0504/5.htm#_Toc71531690",,,,"Human Rights Watch interview, Adam, Chad, April 8, 2004",2,Terchana village,"Bareh area (near, Arey village)",Western Darfur state,El Geneina locality,13.3,22.266667,POINT (22.266667 13.3),148725,Sudan,625,Africa,1,1,12/11/2003 00:00:00,12/11/2003 00:00:00,0,0,23,0,23,23,23,,POINT (22.266667 13.3)
SUD-2015-3-625-179,2015,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,1,"""SUDO(UK),2015-11-01,HUMAN RIGHTS ABUSES IN SUDAN OVER THE MONTH OF OCTOBER 2015""",SUDO(UK),2015-11-01,HUMAN RIGHTS ABUSES IN SUDAN OVER THE MONTH OF OCTOBER 2015,,2,Fanga Suk town,"small village near Fanga
North Darfur",Central Darfur state,Rokoro district,13.287452,24.647945,POINT (24.647945 13.287452),148730,Sudan,625,Africa,1,1,10/07/2015 00:00:00,10/07/2015 00:00:00,0,0,0,0,0,1,0,,POINT (24.647945 13.287452)
SUD-2015-3-625-178,2015,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,1,"""SUDO(UK),2015-11-01,HUMAN RIGHTS ABUSES IN SUDAN OVER THE MONTH OF OCTOBER 2015""",SUDO(UK),2015-11-01,HUMAN RIGHTS ABUSES IN SUDAN OVER THE MONTH OF OCTOBER 2015,,1,Al-Fashir town,"Al-Mawashi market and the main transport station in Al-Fasher
North Darfur",North Darfur state,El Fasher district,13.633333,25.35,POINT (25.35 13.633333),149451,Sudan,625,Africa,1,1,10/06/2015 00:00:00,10/06/2015 00:00:00,0,0,0,0,0,1,0,,POINT (25.35 13.633333)
SUD-2015-3-625-177,2015,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,1,"""SUDO(UK),2015-11-01,HUMAN RIGHTS ABUSES IN SUDAN OVER THE MONTH OF OCTOBER 2015""",SUDO(UK),2015-11-01,HUMAN RIGHTS ABUSES IN SUDAN OVER THE MONTH OF OCTOBER 2015,,3,Tawila district,"village of Sowaisa situated in Tawila locality
North Darfur",North Darfur state,Tawila district,13.5,24.9,POINT (24.9 13.5),149450,Sudan,625,Africa,1,1,10/02/2015 00:00:00,10/02/2015 00:00:00,0,0,0,0,0,1,0,,POINT (24.9 13.5)
SUD-2015-3-625-44,2015,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,1,"""SUDO(UK),2015-01-31,KILLING, LOOTING AND BURNING BY THE RAPID SUPPORT FORCES-SUPPORTED BY AN AERIAL BOMBARDMENT IN EAST JABBAL MARRA""",SUDO(UK),2015-01-31,"KILLING, LOOTING AND BURNING BY THE RAPID SUPPORT FORCES-SUPPORTED BY AN AERIAL BOMBARDMENT IN EAST JABBAL MARRA",,3,East/Sharq Jabel Marra district,"AGAY and KANOUT villages
East Jebel Marra",South Darfur state,East/Sharq Jabel Marra district,12.89457,24.58878,POINT (24.58878 12.89457),148010,Sudan,625,Africa,1,1,01/26/2015 00:00:00,01/26/2015 00:00:00,0,0,1,0,1,1,1,,POINT (24.58878 12.89457)
SUD-2015-3-625-176,2015,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,1,"""SUDO(UK),2015-10-01,HUMAN RIGHTS ABUSES IN SUDAN OVER THE MONTH OF SEPTEMBER 2015""",SUDO(UK),2015-10-01,HUMAN RIGHTS ABUSES IN SUDAN OVER THE MONTH OF SEPTEMBER 2015,,1,Nertiti town,"Al-Jebel Camp in Nertiti
Central Darfur",Central Darfur state,Nertiti district,12.958041,24.038332,POINT (24.038332 12.958041),148009,Sudan,625,Africa,1,1,09/27/2015 00:00:00,09/27/2015 00:00:00,0,0,0,0,0,1,0,,POINT (24.038332 12.958041)
SUD-2015-3-625-175,2015,True,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,1,"""SUDO(UK),2015-10-01,HUMAN RIGHTS ABUSES IN SUDAN OVER THE MONTH OF SEPTEMBER 2015""",SUDO(UK),2015-10-01,HUMAN RIGHTS ABUSES IN SUDAN OVER THE MONTH OF SEPTEMBER 2015,,2,Zalingei town,"returning to Khamsa Dagaig IDP Camp situated in Zalingei from his farm
Central Darfur",Central Darfur state,Zalingei district,12.883333,23.466667,POINT (23.466667 12.883333),148007,Sudan,625,Africa,1,1,09/25/2015 00:00:00,09/25/2015 00:00:00,0,0,0,0,0,1,0,,POINT (23.466667 12.883333)
